URL;TITRE;TYPE;AUTEURS;CONTRIBUTEURS;EDITEURS;DATES;DESCRIPTIONS;SUJETS;PROVENANCE;ARK CATALOGUE;DROITS;NOMBRE DE VUES;CODE(S) PROJET(S);NQA Moyen (%);SOURCE
https://www.numistral.fr/ark:/12148/bpt6k31405153;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1925-02-27;"27 février 1925 ¤ 1925/02/27 (N49,A3). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;86.7;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
https://www.numistral.fr/ark:/12148/bpt6k31407915;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1926-01-27;"27 janvier 1926 ¤ 1926/01/27 (N22,A4). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;86.7;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
https://www.numistral.fr/ark:/12148/bpt6k3141395r;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1928-01-27;"27 janvier 1928 ¤ 1928/01/27 (N23,A6). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;86.5;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
https://www.numistral.fr/ark:/12148/bpt6k31405368;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1925-03-24;"24 mars 1925 ¤ 1925/03/24 (N70,A3). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;85.3;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
https://www.numistral.fr/ark:/12148/bpt6k3140751n;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1925-12-08;"08 décembre 1925 ¤ 1925/12/08 (N285,A3). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;87.3;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
https://www.numistral.fr/ark:/12148/bpt6k31405242;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1925-03-10;"10 mars 1925 ¤ 1925/03/10 (N58,A3). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;86.3;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
https://www.numistral.fr/ark:/12148/bpt6k31415266;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1928-07-05;"05 juillet 1928 ¤ 1928/07/05 (N156,A6). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;84.2;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
https://www.numistral.fr/ark:/12148/bpt6k3140733q;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1925-11-17;"17 novembre 1925 ¤ 1925/11/17 (N267,A3). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;85.8;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
https://www.numistral.fr/ark:/12148/bpt6k31404914;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1925-01-30;"30 janvier 1925 ¤ 1925/01/30 (N25,A3). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;85.7;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
https://www.numistral.fr/ark:/12148/bpt6k3141586g;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1928-09-15;"15 septembre 1928 ¤ 1928/09/15 (N216,A6). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;85.0;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
https://www.numistral.fr/ark:/12148/bpt6k31436213;Journal agricole d'Alsace-Lorraine;fascicules;Association centrale des comices agricoles d'arrondissement (Strasbourg). Auteur du texte;Association des caisses publiques d'assurance contre la grêle et la mort du bétail (Strasbourg). Éditeur scientifique;(Strasbourg);1928-01-28;"28 janvier 1928 ¤ 1928/01/28 (N4,A56). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34423475r;domaine public ¤ public domain;;BNUStr014;85.4;Bibliothèque nationale et universitaire de Strasbourg , M.36.059
https://www.numistral.fr/ark:/12148/bpt6k31415177;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1928-06-25;"25 juin 1928 ¤ 1928/06/25 (N147,A6). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;86.7;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
